Country Code,City,Longitude,Latitude,Cuisines,Average Cost for two,Currency,Has Table booking,Has Online delivery,Is delivering now,Switch to order menu,Price range,Aggregate rating,Votes
216,20,-116.2021,43.6162,1786,40,2,0,0,0,0,3,4.0,340
216,20,-116.2031,43.6156,1129,25,2,0,0,0,0,2,4.1,393
216,20,-116.281809,43.619274,268,10,2,0,0,0,0,1,4.3,422
216,20,-116.280614,43.591706,257,40,2,0,0,0,0,3,4.0,435
216,20,-116.347304,43.619108,16,25,2,0,0,0,0,2,4.0,369
216,20,-116.5629,43.5777,6,40,2,0,0,0,0,3,4.4,487
216,23,-91.6336,42.0179,82,40,2,0,0,0,0,3,3.7,98
216,23,-91.6327,42.0281,1098,40,2,0,0,0,0,3,4.1,365
216,23,-91.7148,41.9748,1212,10,2,0,0,0,0,1,4.1,190
216,23,-91.6224,42.0249,22,40,2,0,0,0,0,3,4.1,429
216,23,-91.6347,42.01,12,25,2,0,0,0,0,2,4.4,430
216,23,-91.6499622,42.0215347,995,25,2,0,0,0,0,2,4.2,186
216,23,-91.7266,41.9639,587,10,2,0,0,0,0,1,4.2,220
216,23,-91.6394,42.0468,497,10,2,0,0,0,0,1,4.2,347
216,23,-91.569767,41.670466,78,25,2,0,0,0,0,2,3.8,161
216,23,-91.5687,41.6685,995,25,2,0,0,0,0,2,4.1,160
216,23,-91.534424,41.660982,294,10,2,0,0,0,0,1,4.9,820
216,23,-91.531414,41.663849,22,10,2,0,0,0,0,1,4.5,488
216,23,-91.531093,41.663751,274,25,2,0,0,0,0,2,3.6,253
216,23,-91.534302,41.658691,68,40,2,0,0,0,0,3,3.8,220
216,23,-91.5314,41.6648,1618,25,2,0,0,0,0,2,4.3,485
216,23,-91.5341,41.661,1022,40,2,0,0,0,0,3,4.3,428
216,23,-91.482165,41.667742,21,25,2,0,0,0,0,2,4.1,294
216,23,-91.5318,41.6625,1210,40,2,0,0,0,0,3,4.0,380
216,23,-91.5074,41.6428,168,25,2,0,0,0,0,2,4.2,259
216,23,-91.5995,42.0331,1639,25,2,0,0,0,0,2,4.7,433
37,25,-82.188438,42.397683,1126,25,2,0,0,0,0,2,3.7,176
216,27,-123.368151,46.126967,23,10,2,0,0,0,0,1,4.3,96
216,28,-114.472474,51.183934,137,25,2,0,0,0,0,2,3.1,6
216,31,-84.992671,32.470315,159,10,2,0,0,0,0,1,3.3,33
216,31,-84.95591,32.519247,95,25,2,0,0,0,0,2,4.6,489
216,31,-84.927047,32.555591,6,25,2,0,0,0,0,2,4.5,345
216,31,-84.9436,32.5577,301,25,2,0,0,0,0,2,3.8,149
216,31,-84.9936,32.4656,1619,25,2,0,0,0,0,2,3.9,330
216,31,-84.954984,32.5382197,1124,40,2,0,0,0,0,3,3.9,247
216,31,-84.9876,32.4637,276,10,2,0,0,0,0,1,3.7,123
216,31,-84.9933631,32.4652417,1125,40,2,0,0,0,0,3,3.6,109
216,31,-84.96661,32.534002,1130,40,2,0,0,0,0,3,3.7,134
216,31,-84.95367,32.513154,1692,40,2,0,0,0,0,3,4.2,722
216,31,-84.947569,32.504657,1743,25,2,0,0,0,0,2,4.3,213
216,31,-84.9607,32.5393,497,25,2,0,0,0,0,2,4.0,335
216,31,-84.9464,32.4792,176,25,2,0,0,0,0,2,4.0,353
216,31,-84.9427,32.481,1098,0,2,0,0,0,0,1,4.0,170
216,31,-84.9557,32.5321,1618,25,2,0,0,0,0,2,4.1,192
216,31,-84.992093,32.466158,103,40,2,0,0,0,0,3,4.1,302
